original_name,french_name,RICname
australian commonwealth,Australian Commonwealth,Australia
australie et tasmanie,Australie et Tasmanie,Australia & Tasmania
australië,Australië,Australia
australië (gemeenebest),Australië (gemeenebest),Australia
australië en polynesië,Australië en Polynesië,Australia & Polynesia
austria-hungria,Austria-Hungary,Austria-Hungary
austria-hungría,Austria-Hungary,Austria-Hungary
austria-ungheria,Austria-Hungary,Austria-Hungary
"autres pays d'afrique, equatoriaux occidentaux","Autres pays d'Afrique, equatoriaux occidentaux",Equatorial West Africa (other)
"autres pays d'afrique, equatoriaux orientaux","Autres pays d'Afrique, equatoriaux orientaux",Equatorial East Africa (other)
"autres pays d'afrique, méridionaux","Autres pays d'Afrique, méridionaux",Southern Africa (other)
"autres pays d'afrique, septentrionaux (tanger)","Autres pays d'Afrique, septentrionaux (Tanger)",Tangier
"autres pays d'asie, autres","Autres pays d'Asie, autres",Asia (other)
"autres pays d'asie, occidentaux","Autres pays d'Asie, occidentaux",Asia (West)
autres pays d'océanie,Oceania (other),Oceania (other)
"autres pays de l'amérique centrale, continentaux","Autres pays de l'Amérique Centrale, continentaux",Central America (Continental) (other)
"autres pays de l'amérique centrale, insulaires","Autres pays de l'Amérique Centrale, insulaires",Central America (Insular) (other)
autres pays de l'amérique du nord,Autres pays de l'Amérique du Nord,Northern America (other)
autres pays de l'amérique du sud,Autres pays de l'Amérique du Sud,Southern America (other)
autres pays de l'océanie,Oceania (other),Oceania (other)
autres pays étrangers,Autres pays étrangers,World (other)
autres possessions britanniques,Autres possessions britanniques,British Colonies (other)
autres possessions espagnoles,Autres possessions espagnoles,Spanish Colonies (other)
autres possessions françaises,Autres possessions françaises,French Colonies (other)
autres établissements de la côte occidentale d'afrique,Autres établissements de la côte occidentale d'Afrique,Africa Coast (West) (other)
autres établissements français en océanie,Autres établissements français en Océanie,French Oceania (other)
aziatisch rusland,Aziatisch Rusland,Asian Russia
aziatisch turkije,Aziatisch Turkije,Asian Turkey
azoren en eilanden aan de westkust van afrika,Azoren en eilanden aan de Westkust van Afrika,Azores (Western Isles) & Africa Coast (West)
azores and madeira,Azores and Madeira,Azores (Western Isles) & Madeira Isles
bahrein island,Bahrein Island,Bahrain
balkan-schiereiland,Balkan-Schiereiland,Balkans
barbarysche staten,Barbarysche Staten,Barbary Coast
bassin de la sarre,Bassin de la Sarre,Saar
bechuanaland protectorate and basutoland and swaziland,Bechuanaland Protectorate and Basutoland and Swaziland,Botswana (Bechuanaland) & Lesotho (Basutoland) & Swaziland
belgian congo (including ruanda and urundi),Belgian Congo and Ruanda-Urundi,Rwanda-Urundi & Zaire (Kinshasa) (Belgian Congo)
belgian congo and ruanda urundi,Belgian Congo and Ruanda-Urundi,Rwanda-Urundi & Zaire (Kinshasa) (Belgian Congo)
belgian congo and ruanda-urundi,Belgian Congo and Ruanda-Urundi,Rwanda-Urundi & Zaire (Kinshasa) (Belgian Congo)
belgio,Belgium,Belgium
belgio-lussemburgo,Belgio-Lussemburgo,Belgium & Luxemburg
belgisch-kongo,Belgisch-Kongo,Zaire (Kinshasa) (Belgian Congo)
belgië,Belgium,Belgium
belgië en luxemburg,Belgium & Luxemburg,Belgium & Luxemburg
belgo-luxemburg economic federation,Belgo-Luxemburg Economic Federation,Belgium & Luxemburg
benadir,Benadir,Benadir
bhutan and nepal,Bhutan and Nepal,Bhutan & Nepal
billiton island,Billiton Island,Billiton Is.
birma,Birma,Burma (Myanmar)
br. bez. in azië,Br. bez. In Azië,British Asia
"br., fr. en am. eil. in amerika","Br., Fr. en Am. Eil. In Amerika",American America Is. & British America Is. & French America Is.
"br., fr. en am. eil. in middle-amerika","Br., Fr. en Am. Eil. In Middle-Amerika",American America Is. & British America Is. & French America Is.
brasile,Brazil,Brazil
brazilië,Brazil,Brazil
british borneo,British Borneo,Brunei & Labuan I. & Sabah (North Borneo) & Sarawak
british central africa,British Central Africa,British Central Africa
british central america,British Central America,British Central America
british east africa and zanzibar and pemba,British East Africa and Zanzibar and Pemba,British East Africa & Pemba Island & Zanzibar
british guiana and falkland islands,British Guiana and Falkland Islands,Guyana (Br. Guiana) & Falkland Is.
british north america provinces,British North America Provinces,British North America
"british pacific islands, protectorates, and mandated territories","British Pacific Islands, Protectorates, and Mandated Territories",British Oceania
british sudan,British Sudan,Sudan (Anglo-Egyptian)
british wale fisheries,British Wale Fisheries,***NA
british west india islands and bahamas,British West India Islands and Bahamas,Bahamas & British West Indies
british and dutch borneo,British and Dutch Borneo,Banjermassin (Dutch Borneo) & Brunei & Labuan I. & Sabah (North Borneo) & Sarawak
british and french somaliland,British and French Somaliland,British Somaliland (Somaliland Republic) & Djibouti (Afar and Issas) (French Somaliland)
british leased territory,British leased territory,British China Leased Territory
britsch oost-afrika,British East Africa,British East Africa
britsch west-afrika,British West Africa,British West Africa
britsch-honduras,Britsch-Honduras,Belize (British Honduras)
britsch-indië,Britsch-Indië,India
"britsch-indië, enz.","Britsch-Indië, enz.",India
"britsch-malakka, enz.","Britsch-Malakka, enz.",Malacca
britsche bezitt. in amerika,Britsche bezitt. In Amerika,British America
britsche bezitt. midd. zee,Britsche bezitt. Midd. Zee,British Mediterranean
britsche bezittingen oost-afrika,Britsche bezittingen Oost-Afrika,British East Africa
britsche bezittingen in amerika,Britsche bezittingen in Amerika,British America
britsche bezittingen in azië,Britsche bezittingen in Azië,British Asia
britsche bezittingen in middellandsche zee,Britsche bezittingen in Middellandsche Zee,British Mediterranean
bruxelles,Bruxelles,Bruxelles
bulgarije,Bulgarije,Bulgaria
bélgica,Bélgica,Belgium
bélgica y luxemburgo,Bélgica y Luxemburgo,Belgium & Luxemburg
béljica,Belgium,Belgium
cabo verde,Cabo Verde,Cape Verde
cameroun (mandat français),Cameroun (mandat français),Cameroun (French Cameroons)
canada and central america and south america and united states,Canada and Central America and South America and United States,Canada & Central America & South America & United States of America
canada-atlantic coast,Canada-Atlantic coast,Canada (Atlantic Coast)
canada-pacific coast,Canada-Pacific coast,Canada (Pacific Coast)
canadà,Canadá,Canada
canadá,Canadá,Canada
canarias (islas),Canarias (Islas),Canary Is.
caroline islands,Caroline Islands,Canary Is.
cayenne et guyanne,Cayenne et Guyanne,Cayenne Is. & French Guyana
caymans,Caymans,Cayman Is.
ceco-slovacchia,Ceco-Slovacchia,Czechoslovakia
centraal amerika,Centraal Amerika,Central America
central africa,Central Africa,Central Africa
central america us territories,Central America US territories,American Central America
central asia,Central Asia,Central Asia
centro améric,Centro Améric,Central America
cerdeña,Cerdeña,Kingdom of Sardinia
ceylao,Ceylao,Sri Lanka (Ceylon)
ceylán,Ceylán,Sri Lanka (Ceylon)
checoeslovaquia,Czechoslovakia,Czechoslovakia
chile and pacific coast of patagonia,Chile and Pacific Coast of Patagonia,Chile & Patagonia (Pacific Coast)
china (treaty ports),China (Treaty Ports),Chinese Treaty Ports
"china (exclusive of hong kong, macao and leased territories)","China (exclusive of Hong Kong, Macao and leased territories)",China (People's Republic of China)
china e giappone,China e Giappone,China (People's Republic of China) & Japan
"china, enz.","China, enz.",China (People's Republic of China)
chine anglaise,Chine anglaise,British China
chios,Chios,Chios
chipre,Chipre,Cyprus
chosen,Chosen,Korea (Chosen)
christmas island (indian ocean),Christmas Island (Indian Ocean),Christmas I.
cina,Cina,China (People's Republic of China)
cina e hong-kong,Cina e Hong-Kong,China (People's Republic of China) & Hong Kong
cipro,Cipro,Cyprus
cochin china and annam,Cochin China and Annam,Cochin China & Tonkin
"cochin china, tonkin, and annam","Cochin China, Tonkin, and Annam",Cochin China & Annam & Tonkin
cocos island,Cocos Island,Cocos (Keeling) Is.
col. brit. insul. am. c.,Col. Brit. Insul. Am. C.,British Central America
colonia del cabo,Cape Colony,Cape Colony
colonia del capo,Cape Colony,Cape Colony
colonia do cabo,Colonia do Cabo,Cape Colony
colonie britanniche non nominate (africa),Colonie britanniche non nominate (Africa),British Africa (other)
colonie e possedimenti italiani,Colonie e Possedimenti Italiani,Italian Colonies
colonie francesi,Colonie francesi,French Colonies
colonie francesi (asia),Colonie francesi (Asia),French Asia
colonie francesi non nominate (africa),Colonie francesi non nominate (Africa),French Africa
colonies d'amérique et de l'inde,Colonies d'Amérique et de l'Inde,French America & French India
colonies françaises (sauf algérie),Colonies françaises (sauf Algérie),French Colonies (other)
colonies françaises des deux indes,Colonies françaises des deux Indes,French India & French West Indies
"colonies françaises en amérique, asie et afrique","Colonies françaises en Amérique, Asie et Afrique",French Africa & French America & French Asia
colonies françaises-hollandaises,Colonies françaises-hollandaises,French Colonies & Dutch Colonies
colonies hollandaises,Colonies hollandaises,Dutch Colonies
"columbia, ecuador en venezuela","Columbia, Ecuador en Venezuela",Colombia (Gran Colombia) & Ecuador & Venezuela
congo belga,Congo Belga,Zaire (Kinshasa) (Belgian Congo)
congo francea,Congo Francea,Congo (Brazzaville) (French Congo) (Middle Congo)
congo state,Congo State,Zaire (Kinshasa) (Belgian Congo)
cook islands,Cook Islands,Cook Is.
corps expéditionnaire d'orient (grèce),Corps expéditionnaire d'Orient (Grèce),Corps Expeditionnaire d'Orient (Gallipoli and Dardanelles)
corsica,Corsica,Corsica
costa de oro,Ghana (Gold Coast),Ghana (Gold Coast)
costa de ouro,Ghana (Gold Coast),Ghana (Gold Coast)
costarica,Costarica,Costa Rica
creta,Creta,Crete
cuba & porto-rico,Cuba & Puerto Rico,Cuba & Puerto Rico
cuba e portorico,Cuba & Puerto Rico,Cuba & Puerto Rico
cuban west indies,Cuban West Indies,Cuba
curazao,Curazao,Curacao
curaçao island,Curaçao Island,Curacao
"curaçao, enz.","Curaçao, enz.",Curacao
côte des somalis française,Côte française des Somalis,Djibouti (Afar and Issas) (French Somaliland)
côte française des somalis,Côte française des Somalis,Djibouti (Afar and Issas) (French Somaliland)
côte occidentale d'afrique possessions britanniques,Côte occidentale d'Afrique possessions britanniques,British West Africa
côte orientale d'afrique possessions britanniques,Côte orientale d'Afrique possessions britanniques,British East Africa
dahomey,Dahomey,Benin (Dahomey)
danemarck et norwège,Danemarck et Norwège,Denmark & Norway
danimarca,Denmark,Denmark
de la pesca,De la pesca,***NA
de naufragios,De naufragios,***NA
deep sea fisheries,Deep Sea Fisheries,***NA
demas posesiones inglesas en europa,Demas posesiones inglesas en Europa,British Europe (other)
demerara,Demerara,Demerara
"demás países y ""a órdenes"",""none","Demás países y ""a órdenes"",""None",World (other)
denemarken,Denemarken,Denmark
denemarken en ijsland,Denemarken en Ijsland,Denmark & Iceland
denmark (including faroë islands),Denmark (including Faroë Islands),Denmark & Faeroe Is.
dodecaneso,Dodecanese Is. (Aegean Is.),Dodecanese Is. (Aegean Is.)
dodécanèse,Dodecanese Is. (Aegean Is.),Dodecanese Is. (Aegean Is.)
dominicaansche republiek,Dominicaansche republiek,Dominican Republic (Santo Domingo)
dominican republic,Dominican Republic,Dominican Republic (Santo Domingo)
duitsch oost-afrika,Duitsch Oost-Afrika,Dutch East Africa
duitsch zuid-west-afrika,Duitsch Zuid-West-Afrika,Dutch South West Africa
duitschland,Duitschland,Germany
dutch indies,Dutch Indies,Indonesia (Dutch East Indies) & Netherlands Antilles
dutch new guinea and other dutch possessions in the indian seas,Dutch New Guinea and Other Dutch Possessions in the Indian Seas,West Irian (Dutch New Guinea) & Dutch Oceania (other)
dutch west indies (curacao),Dutch West Indies (Curacao),Curacao
dínamarca,Denmark,Denmark
egitto,Egitto,Egypt/United Arab Republic
egypt and anglo-egyptian sudan,Egypt and Anglo-Egyptian Sudan,Egypt/United Arab Republic & Sudan (Anglo-Egyptian)
"egypte, enz.","Egypte, enz.",Egypt/United Arab Republic
egypto,Egypt,Egypt/United Arab Republic
egípto,Egypt,Egypt/United Arab Republic
ellice islands,Ellice Islands,Ellice Is.
empire ottoman et barbarie,Empire Ottoman et Barbarie,Turkey & Barbary Coast
empire d'autriche,Empire d'Autriche,Austria-Hungary
empire de russie,Empire de Russie,Russia/USSR
empire de sardaigne,Empire de Sardaigne,Kingdom of Sardinia
empire du portugal,Empire du Portugal,
engelsch-amerika,Engelsch-Amerika,British America
engelsch-egyptische soedan,Engelsch-Egyptische Soedan,Sudan (Anglo-Egyptian)
engelsch-indië,Engelsch-Indië,India
entrepôt et port franc de livourne,Entrepôt et port franc de Livourne,Livorno
epaves et échouements,Epaves et échouements,***NA
equatore,Equatore,Ecuador
erithrea en it. somaliland,Erithrea en It. Somaliland,Eritrea & Italian Somaliland
erythrea en fransch somaliland,Erythrea en Fransch Somaliland,Eritrea & Djibouti (Afar and Issas) (French Somaliland)
"erythrea, somaliland","Erythrea, Somaliland",Eritrea & Italian Somaliland
escocia,Escocia,Scotland
espagne - par mer,Espagne - par mer,Spain
espagne - par terre,Espagne - par terre,Spain
españa y sus colonias,España y sus colonias,Spain & Spanish Colonies
estabelecimentos do estreito,Estabelecimentos do Estreito,Straits Settlements
estado oriental,Estado Oriental,Uruguay
estados-unidos,Estados-Unidos,United States of America
esthonia,Estonia,Estonia
esthonie,Estonia,Estonia
estland,Estland,Estonia
etablissements anglais du détroit,Etablissements anglais du Détroit,Straits Settlements
etablissements français de la côte des somalis,Etablissements français de la côte des Somalis,Djibouti (Afar and Issas) (French Somaliland)
